ts,userId,sessionId,page,auth,method,status,level,itemInSession,location,userAgent,lastName,firstName,registration,gender,artist,song,length
1538398233000,,237,Login,Logged Out,PUT,307,paid,44,,,,,,,,,
1538398585000,,236,Help,Logged Out,GET,200,paid,3,,,,,,,,,
1538398622000,,236,Help,Logged Out,GET,200,paid,4,,,,,,,,,
1538398623000,,236,Login,Logged Out,PUT,307,paid,5,,,,,,,,,
1538401691000,,35,Home,Logged Out,GET,200,free,58,,,,,,,,,
1538402850000,,208,Home,Logged Out,GET,200,free,64,,,,,,,,,
1538402851000,,208,Login,Logged Out,PUT,307,free,65,,,,,,,,,
1538404201000,,272,Home,Logged Out,GET,200,free,0,,,,,,,,,
1538404202000,,272,Login,Logged Out,PUT,307,free,1,,,,,,,,,
1538404285000,,26,Home,Logged Out,GET,200,free,26,,,,,,,,,
1538404299000,,26,Home,Logged Out,GET,200,free,27,,,,,,,,,
1538404300000,,26,Login,Logged Out,PUT,307,free,28,,,,,,,,,
1538404341000,,236,Home,Logged Out,GET,200,paid,38,,,,,,,,,
1538404342000,,236,Login,Logged Out,PUT,307,paid,39,,,,,,,,,
1538406170000,,249,Home,Logged Out,GET,200,paid,107,,,,,,,,,
1538406171000,,249,Login,Logged Out,PUT,307,paid,108,,,,,,,,,
1538408215000,,141,Home,Logged Out,GET,200,paid,192,,,,,,,,,
1538408216000,,141,Login,Logged Out,PUT,307,paid,193,,,,,,,,,
1538409242000,,123,Home,Logged Out,GET,200,paid,14,,,,,,,,,
1538409307000,,123,Home,Logged Out,GET,200,paid,15,,,,,,,,,
1538409308000,,123,Login,Logged Out,PUT,307,paid,16,,,,,,,,,
1538409993000,,251,Home,Logged Out,GET,200,free,0,,,,,,,,,
1538410206000,,260,Home,Logged Out,GET,200,paid,66,,,,,,,,,
1538410207000,,260,Login,Logged Out,PUT,307,paid,67,,,,,,,,,
1538410272000,,274,Home,Logged Out,GET,200,free,0,,,,,,,,,
1538410362000,,274,Home,Logged Out,GET,200,free,1,,,,,,,,,
1538410670000,,260,Home,Logged Out,GET,200,paid,72,,,,,,,,,
1538410671000,,260,Login,Logged Out,PUT,307,paid,73,,,,,,,,,
1538411363000,,248,Home,Logged Out,GET,200,paid,202,,,,,,,,,
1538411367000,,248,About,Logged Out,GET,200,paid,203,,,,,,,,,
1538411370000,,248,Help,Logged Out,GET,200,paid,204,,,,,,,,,
1538411380000,,248,Home,Logged Out,GET,200,paid,205,,,,,,,,,
1538412028000,,249,Home,Logged Out,GET,200,paid,137,,,,,,,,,
1538412029000,,249,Login,Logged Out,PUT,307,paid,138,,,,,,,,,
1538412078000,,276,Home,Logged Out,GET,200,free,6,,,,,,,,,
1538412085000,,225,Home,Logged Out,GET,200,paid,0,,,,,,,,,
1538412086000,,225,Login,Logged Out,PUT,307,paid,1,,,,,,,,,
1538412918000,,192,Login,Logged Out,PUT,307,free,0,,,,,,,,,
1538413476000,,259,Home,Logged Out,GET,200,free,0,,,,,,,,,
1538413477000,,259,Login,Logged Out,PUT,307,free,1,,,,,,,,,
1538414034000,,280,Home,Logged Out,GET,200,free,20,,,,,,,,,
1538414035000,,280,Login,Logged Out,PUT,307,free,21,,,,,,,,,
1538414695000,,192,Home,Logged Out,GET,200,free,13,,,,,,,,,
1538414711000,,192,About,Logged Out,GET,200,free,14,,,,,,,,,
1538414712000,,192,Login,Logged Out,PUT,307,free,15,,,,,,,,,
1538417077000,,136,Home,Logged Out,GET,200,free,7,,,,,,,,,
1538417110000,,136,Home,Logged Out,GET,200,free,8,,,,,,,,,
1538417249000,,168,Home,Logged Out,GET,200,free,0,,,,,,,,,
1538417267000,,141,Home,Logged Out,GET,200,paid,239,,,,,,,,,
1538417268000,,141,Login,Logged Out,PUT,307,paid,240,,,,,,,,,
1538418948000,,291,Login,Logged Out,PUT,307,free,0,,,,,,,,,
1538419817000,,293,Login,Logged Out,PUT,307,free,0,,,,,,,,,
1538423229000,,260,Home,Logged Out,GET,200,paid,141,,,,,,,,,
1538423230000,,260,Login,Logged Out,PUT,307,paid,142,,,,,,,,,
1538423592000,,52,Home,Logged Out,GET,200,free,26,,,,,,,,,
1538423593000,,52,Login,Logged Out,PUT,307,free,27,,,,,,,,,
1538424263000,,268,Login,Logged Out,PUT,307,free,0,,,,,,,,,
1538425867000,,52,Home,Logged Out,GET,200,free,42,,,,,,,,,
1538425868000,,52,Login,Logged Out,PUT,307,free,43,,,,,,,,,
1538429311000,,215,Home,Logged Out,GET,200,free,34,,,,,,,,,
1538434106000,,141,Home,Logged Out,GET,200,paid,317,,,,,,,,,
1538434107000,,141,Login,Logged Out,PUT,307,paid,318,,,,,,,,,
1538436020000,,57,Home,Logged Out,GET,200,free,56,,,,,,,,,
1538436021000,,57,Login,Logged Out,PUT,307,free,57,,,,,,,,,
1538439575000,,227,Login,Logged Out,PUT,307,free,0,,,,,,,,,
1538451583000,,236,Home,Logged Out,GET,200,paid,264,,,,,,,,,
1538451584000,,236,Login,Logged Out,PUT,307,paid,265,,,,,,,,,
1538453013000,,310,Home,Logged Out,GET,200,free,14,,,,,,,,,
1538453014000,,310,Login,Logged Out,PUT,307,free,15,,,,,,,,,
1538458846000,,310,Home,Logged Out,GET,200,free,47,,,,,,,,,
1538461364000,,193,Home,Logged Out,GET,200,free,0,,,,,,,,,
1538461365000,,193,Login,Logged Out,PUT,307,free,1,,,,,,,,,
1538462330000,,238,Home,Logged Out,GET,200,free,0,,,,,,,,,
1538462331000,,238,Login,Logged Out,PUT,307,free,1,,,,,,,,,
1538462818000,,238,Home,Logged Out,GET,200,free,8,,,,,,,,,
1538462819000,,238,Login,Logged Out,PUT,307,free,9,,,,,,,,,
1538465485000,,323,Home,Logged Out,GET,200,free,12,,,,,,,,,
1538465486000,,323,Login,Logged Out,PUT,307,free,13,,,,,,,,,
1538466555000,,323,Home,Logged Out,GET,200,free,20,,,,,,,,,
1538466556000,,323,Login,Logged Out,PUT,307,free,21,,,,,,,,,
1538469328000,,300,Home,Logged Out,GET,200,free,50,,,,,,,,,
1538471506000,,315,Home,Logged Out,GET,200,paid,46,,,,,,,,,
1538471509000,,315,Home,Logged Out,GET,200,paid,47,,,,,,,,,
1538471510000,,315,Login,Logged Out,PUT,307,paid,48,,,,,,,,,
1538473183000,,193,Home,Logged Out,GET,200,free,62,,,,,,,,,
1538473184000,,193,Login,Logged Out,PUT,307,free,63,,,,,,,,,
1538473314000,,131,Home,Logged Out,GET,200,free,14,,,,,,,,,
1538473315000,,131,Login,Logged Out,PUT,307,free,15,,,,,,,,,
1538473664000,,193,Home,Logged Out,GET,200,free,71,,,,,,,,,
1538477767000,,60,Home,Logged Out,GET,200,free,120,,,,,,,,,
1538477768000,,60,Login,Logged Out,PUT,307,free,121,,,,,,,,,
1538478656000,,236,Home,Logged Out,GET,200,paid,396,,,,,,,,,
1538478657000,,236,Login,Logged Out,PUT,307,paid,397,,,,,,,,,
1538481234000,,236,Home,Logged Out,GET,200,paid,412,,,,,,,,,
1538481235000,,236,Login,Logged Out,PUT,307,paid,413,,,,,,,,,
1538483105000,,131,Home,Logged Out,GET,200,paid,57,,,,,,,,,
1538483106000,,131,Login,Logged Out,PUT,307,paid,58,,,,,,,,,
1538483729000,,109,Home,Logged Out,GET,200,free,24,,,,,,,,,
1538483730000,,109,Login,Logged Out,PUT,307,free,25,,,,,,,,,
1538486026000,,262,Home,Logged Out,GET,200,free,18,,,,,,,,,
1538486041000,,262,Home,Logged Out,GET,200,free,19,,,,,,,,,
1538486042000,,262,Login,Logged Out,PUT,307,free,20,,,,,,,,,
1538488477000,,60,Home,Logged Out,GET,200,free,164,,,,,,,,,
1538488477000,,120,Login,Logged Out,PUT,307,free,0,,,,,,,,,
1538491018000,,319,Home,Logged Out,GET,200,free,13,,,,,,,,,
1538491882000,,81,Home,Logged Out,GET,200,free,8,,,,,,,,,
1538492536000,,340,Home,Logged Out,GET,200,free,3,,,,,,,,,
1538492537000,,340,Login,Logged Out,PUT,307,free,4,,,,,,,,,
1538497496000,,236,Home,Logged Out,GET,200,paid,491,,,,,,,,,
1538497497000,,236,Login,Logged Out,PUT,307,paid,492,,,,,,,,,
1538501741000,,236,Home,Logged Out,GET,200,paid,512,,,,,,,,,
1538501821000,,236,Home,Logged Out,GET,200,paid,513,,,,,,,,,
1538501822000,,236,Login,Logged Out,PUT,307,paid,514,,,,,,,,,
1538506295000,,258,Home,Logged Out,GET,200,free,12,,,,,,,,,
1538506296000,,258,Login,Logged Out,PUT,307,free,13,,,,,,,,,
1538506349000,,242,Home,Logged Out,GET,200,paid,34,,,,,,,,,
1538506350000,,242,Login,Logged Out,PUT,307,paid,35,,,,,,,,,
1538512503000,,349,Home,Logged Out,GET,200,free,39,,,,,,,,,
1538512504000,,349,Login,Logged Out,PUT,307,free,40,,,,,,,,,
1538512730000,,349,Home,Logged Out,GET,200,free,44,,,,,,,,,
1538512731000,,349,Login,Logged Out,PUT,307,free,45,,,,,,,,,
1538514377000,,305,Home,Logged Out,GET,200,free,30,,,,,,,,,
1538514378000,,305,Login,Logged Out,PUT,307,free,31,,,,,,,,,
1538516062000,,104,Home,Logged Out,GET,200,free,25,,,,,,,,,
1538516115000,,104,Home,Logged Out,GET,200,free,26,,,,,,,,,
1538516116000,,104,Login,Logged Out,PUT,307,free,27,,,,,,,,,
1538517678000,,305,Home,Logged Out,GET,200,free,50,,,,,,,,,
1538517679000,,305,Login,Logged Out,PUT,307,free,51,,,,,,,,,
1538518167000,,360,Home,Logged Out,GET,200,paid,4,,,,,,,,,
1538518181000,,360,Home,Logged Out,GET,200,paid,5,,,,,,,,,
1538518182000,,360,Login,Logged Out,PUT,307,paid,6,,,,,,,,,
1538520845000,,354,Home,Logged Out,GET,200,free,45,,,,,,,,,
1538520952000,,292,Home,Logged Out,GET,200,paid,0,,,,,,,,,
1538520953000,,292,Login,Logged Out,PUT,307,paid,1,,,,,,,,,
1538521585000,,236,Home,Logged Out,GET,200,paid,612,,,,,,,,,
1538521586000,,236,Login,Logged Out,PUT,307,paid,613,,,,,,,,,
1538522483000,,312,Home,Logged Out,GET,200,paid,109,,,,,,,,,
1538522484000,,312,Login,Logged Out,PUT,307,paid,110,,,,,,,,,
1538523170000,,344,Home,Logged Out,GET,200,free,0,,,,,,,,,
1538523171000,,344,Login,Logged Out,PUT,307,free,1,,,,,,,,,
1538524446000,,296,Home,Logged Out,GET,200,free,73,,,,,,,,,
1538527257000,,349,Home,Logged Out,GET,200,free,116,,,,,,,,,
1538527288000,,349,Home,Logged Out,GET,200,free,117,,,,,,,,,
1538527289000,,349,Login,Logged Out,PUT,307,free,118,,,,,,,,,
1538527335000,,344,Home,Logged Out,GET,200,free,20,,,,,,,,,
1538527336000,,344,Help,Logged Out,GET,200,free,21,,,,,,,,,
1538527337000,,344,Login,Logged Out,PUT,307,free,22,,,,,,,,,
1538527671000,,346,Home,Logged Out,GET,200,free,48,,,,,,,,,
1538527672000,,346,Login,Logged Out,PUT,307,free,49,,,,,,,,,
1538528212000,,312,Home,Logged Out,GET,200,paid,136,,,,,,,,,
1538528213000,,312,Login,Logged Out,PUT,307,paid,137,,,,,,,,,
1538528424000,,305,Home,Logged Out,GET,200,free,103,,,,,,,,,
1538528425000,,305,Login,Logged Out,PUT,307,free,104,,,,,,,,,
1538528835000,,344,Home,Logged Out,GET,200,free,31,,,,,,,,,
1538529198000,,305,Home,Logged Out,GET,200,free,111,,,,,,,,,
1538530433000,,104,Home,Logged Out,GET,200,paid,95,,,,,,,,,
1538530436000,,104,About,Logged Out,GET,200,paid,96,,,,,,,,,
1538530513000,,104,Home,Logged Out,GET,200,paid,97,,,,,,,,,
1538530519000,,104,Home,Logged Out,GET,200,paid,98,,,,,,,,,
1538530520000,,104,Login,Logged Out,PUT,307,paid,99,,,,,,,,,
1538530664000,,54,Home,Logged Out,GET,200,free,0,,,,,,,,,
1538530665000,,54,Login,Logged Out,PUT,307,free,1,,,,,,,,,
1538533537000,,11,Login,Logged Out,PUT,307,free,0,,,,,,,,,
1538540132000,,104,Home,Logged Out,GET,200,paid,147,,,,,,,,,
1538540133000,,104,Login,Logged Out,PUT,307,paid,148,,,,,,,,,
1538542229000,,72,Home,Logged Out,GET,200,free,0,,,,,,,,,
1538542230000,,72,Login,Logged Out,PUT,307,free,1,,,,,,,,,
1538543302000,,250,Login,Logged Out,PUT,307,free,0,,,,,,,,,
1538544168000,,210,Home,Logged Out,GET,200,free,0,,,,,,,,,
1538548806000,,312,Home,Logged Out,GET,200,paid,228,,,,,,,,,
1538548807000,,312,Login,Logged Out,PUT,307,paid,229,,,,,,,,,
1538549687000,,72,Home,Logged Out,GET,200,paid,41,,,,,,,,,
1538549688000,,72,Login,Logged Out,PUT,307,paid,42,,,,,,,,,
1538551797000,,361,Home,Logged Out,GET,200,free,0,,,,,,,,,
1538551798000,,361,Login,Logged Out,PUT,307,free,1,,,,,,,,,
1538551988000,,104,Home,Logged Out,GET,200,paid,207,,,,,,,,,
1538552213000,,104,About,Logged Out,GET,200,paid,208,,,,,,,,,
1538552214000,,104,Login,Logged Out,PUT,307,paid,209,,,,,,,,,
1538552573000,,104,Home,Logged Out,GET,200,paid,214,,,,,,,,,
1538552574000,,104,Login,Logged Out,PUT,307,paid,215,,,,,,,,,
1538552659000,,361,Home,Logged Out,GET,200,free,8,,,,,,,,,
1538552660000,,361,Login,Logged Out,PUT,307,free,9,,,,,,,,,
1538553109000,,250,Home,Logged Out,GET,200,free,47,,,,,,,,,
1538554106000,,363,Home,Logged Out,GET,200,paid,25,,,,,,,,,
1538554107000,,363,Login,Logged Out,PUT,307,paid,26,,,,,,,,,
1538561182000,,284,Home,Logged Out,GET,200,free,14,,,,,,,,,
1538561183000,,284,Login,Logged Out,PUT,307,free,15,,,,,,,,,
1538562794000,,287,Home,Logged Out,GET,200,paid,24,,,,,,,,,
1538562795000,,287,Login,Logged Out,PUT,307,paid,25,,,,,,,,,
1538563510000,,226,Home,Logged Out,GET,200,free,34,,,,,,,,,
1538565222000,,72,Home,Logged Out,GET,200,paid,111,,,,,,,,,
1538565282000,,72,Home,Logged Out,GET,200,paid,112,,,,,,,,,
1538565283000,,72,Login,Logged Out,PUT,307,paid,113,,,,,,,,,
1538567749000,,104,Home,Logged Out,GET,200,paid,290,,,,,,,,,
1538567750000,,104,Login,Logged Out,PUT,307,paid,291,,,,,,,,,
1538571923000,,287,Home,Logged Out,GET,200,paid,71,,,,,,,,,
1538571924000,,287,Login,Logged Out,PUT,307,paid,72,,,,,,,,,
1538572060000,,381,Home,Logged Out,GET,200,free,36,,,,,,,,,
1538572183000,,381,About,Logged Out,GET,200,free,37,,,,,,,,,
1538572200000,,381,Home,Logged Out,GET,200,free,38,,,,,,,,,
1538572201000,,381,Login,Logged Out,PUT,307,free,39,,,,,,,,,
1538575066000,,333,Home,Logged Out,GET,200,paid,45,,,,,,,,,
1538575067000,,333,Login,Logged Out,PUT,307,paid,46,,,,,,,,,
1538576171000,,66,Home,Logged Out,GET,200,free,4,,,,,,,,,
1538576172000,,66,Login,Logged Out,PUT,307,free,5,,,,,,,,,
1538576285000,,365,Home,Logged Out,GET,200,free,0,,,,,,,,,
1538578773000,,66,Home,Logged Out,GET,200,free,22,,,,,,,,,
1538578774000,,66,Login,Logged Out,PUT,307,free,23,,,,,,,,,
1538579047000,,376,Home,Logged Out,GET,200,paid,70,,,,,,,,,
1538579048000,,376,Login,Logged Out,PUT,307,paid,71,,,,,,,,,
1538579870000,,299,Home,Logged Out,GET,200,free,0,,,,,,,,,
1538579871000,,299,Login,Logged Out,PUT,307,free,1,,,,,,,,,
1538580807000,,384,Home,Logged Out,GET,200,paid,40,,,,,,,,,
1538580808000,,384,Login,Logged Out,PUT,307,paid,41,,,,,,,,,
1538581446000,,380,Home,Logged Out,GET,200,free,0,,,,,,,,,
1538581447000,,380,Login,Logged Out,PUT,307,free,1,,,,,,,,,
1538581497000,,380,Home,Logged Out,GET,200,free,4,,,,,,,,,
1538582670000,,218,Home,Logged Out,GET,200,free,18,,,,,,,,,
1538582671000,,218,Login,Logged Out,PUT,307,free,19,,,,,,,,,
1538584468000,,368,Home,Logged Out,GET,200,free,0,,,,,,,,,
1538584469000,,368,Login,Logged Out,PUT,307,free,1,,,,,,,,,
1538585318000,,289,Home,Logged Out,GET,200,free,0,,,,,,,,,
1538586641000,,105,Home,Logged Out,GET,200,free,0,,,,,,,,,
1538586652000,,105,About,Logged Out,GET,200,free,1,,,,,,,,,
1538586653000,,105,Login,Logged Out,PUT,307,free,2,,,,,,,,,
1538586810000,,105,Home,Logged Out,GET,200,free,5,,,,,,,,,
1538586922000,,105,Home,Logged Out,GET,200,free,6,,,,,,,,,
1538586923000,,105,Login,Logged Out,PUT,307,free,7,,,,,,,,,
1538586959000,,330,Login,Logged Out,PUT,307,free,0,,,,,,,,,
1538587633000,,327,Login,Logged Out,PUT,307,free,0,,,,,,,,,
1538592166000,,113,Home,Logged Out,GET,200,free,13,,,,,,,,,
1538592167000,,113,Login,Logged Out,PUT,307,free,14,,,,,,,,,
1538594334000,,333,Home,Logged Out,GET,200,paid,133,,,,,,,,,
1538594335000,,333,Login,Logged Out,PUT,307,paid,134,,,,,,,,,
1538595668000,,333,Home,Logged Out,GET,200,paid,141,,,,,,,,,
1538595700000,,333,Home,Logged Out,GET,200,paid,142,,,,,,,,,
1538595701000,,333,Login,Logged Out,PUT,307,paid,143,,,,,,,,,
1538597724000,,405,Home,Logged Out,GET,200,free,6,,,,,,,,,
1538598787000,,405,Home,Logged Out,GET,200,free,7,,,,,,,,,
1538598788000,,405,Login,Logged Out,PUT,307,free,8,,,,,,,,,
1538599949000,,396,Home,Logged Out,GET,200,free,0,,,,,,,,,
1538600510000,,327,Home,Logged Out,GET,200,free,63,,,,,,,,,
1538603409000,,376,Home,Logged Out,GET,200,paid,176,,,,,,,,,
1538603410000,,376,Login,Logged Out,PUT,307,paid,177,,,,,,,,,
1538606930000,,407,Home,Logged Out,GET,200,free,6,,,,,,,,,
1538606969000,,407,Home,Logged Out,GET,200,free,7,,,,,,,,,
1538607513000,,412,Home,Logged Out,GET,200,free,24,,,,,,,,,
1538607514000,,412,Login,Logged Out,PUT,307,free,25,,,,,,,,,
1538609923000,,282,Login,Logged Out,PUT,307,free,0,,,,,,,,,
1538612818000,,282,Home,Logged Out,GET,200,free,16,,,,,,,,,
1538612853000,,282,About,Logged Out,GET,200,free,17,,,,,,,,,
1538612872000,,282,About,Logged Out,GET,200,free,18,,,,,,,,,
1538612873000,,282,Login,Logged Out,PUT,307,free,19,,,,,,,,,
1538621134000,,185,Home,Logged Out,GET,200,free,39,,,,,,,,,
1538621135000,,185,Login,Logged Out,PUT,307,free,40,,,,,,,,,
1538621510000,,286,Home,Logged Out,GET,200,free,9,,,,,,,,,
1538621766000,,423,Home,Logged Out,GET,200,free,0,,,,,,,,,
1538621767000,,423,Login,Logged Out,PUT,307,free,1,,,,,,,,,
1538622086000,,398,Home,Logged Out,GET,200,paid,178,,,,,,,,,
1538622087000,,398,Login,Logged Out,PUT,307,paid,179,,,,,,,,,
1538623303000,,390,Home,Logged Out,GET,200,paid,27,,,,,,,,,
1538623304000,,390,Login,Logged Out,PUT,307,paid,28,,,,,,,,,
1538627318000,,189,Home,Logged Out,GET,200,free,24,,,,,,,,,
1538632325000,,309,Home,Logged Out,GET,200,paid,37,,,,,,,,,
1538632326000,,309,Login,Logged Out,PUT,307,paid,38,,,,,,,,,
1538632464000,,369,Home,Logged Out,GET,200,paid,96,,,,,,,,,
1538632465000,,369,Login,Logged Out,PUT,307,paid,97,,,,,,,,,
1538633830000,,309,Home,Logged Out,GET,200,paid,48,,,,,,,,,
1538635859000,,185,Home,Logged Out,GET,200,free,115,,,,,,,,,
1538635860000,,185,Login,Logged Out,PUT,307,free,116,,,,,,,,,
1538638972000,,345,Login,Logged Out,PUT,307,free,0,,,,,,,,,
1538640777000,,213,Home,Logged Out,GET,200,free,0,,,,,,,,,
1538641681000,,182,Home,Logged Out,GET,200,paid,100,,,,,,,,,
1538641682000,,182,Login,Logged Out,PUT,307,paid,101,,,,,,,,,
1538642255000,,325,Home,Logged Out,GET,200,paid,130,,,,,,,,,
1538642256000,,325,Login,Logged Out,PUT,307,paid,131,,,,,,,,,
1538649398000,,182,Home,Logged Out,GET,200,paid,140,,,,,,,,,
1538649399000,,182,Login,Logged Out,PUT,307,paid,141,,,,,,,,,
1538650045000,,345,Home,Logged Out,GET,200,free,55,,,,,,,,,
1538650292000,,345,Help,Logged Out,GET,200,free,56,,,,,,,,,
1538650591000,,345,Home,Logged Out,GET,200,free,57,,,,,,,,,
1538650592000,,345,Login,Logged Out,PUT,307,free,58,,,,,,,,,
1538652239000,,335,Home,Logged Out,GET,200,free,11,,,,,,,,,
1538652240000,,335,Login,Logged Out,PUT,307,free,12,,,,,,,,,
1538652422000,,416,Login,Logged Out,PUT,307,free,0,,,,,,,,,
1538654389000,,364,Home,Logged Out,GET,200,paid,26,,,,,,,,,
1538654398000,,364,Home,Logged Out,GET,200,paid,27,,,,,,,,,
1538654559000,,353,Home,Logged Out,GET,200,free,20,,,,,,,,,
1538654560000,,353,Login,Logged Out,PUT,307,free,21,,,,,,,,,
1538654681000,,385,Home,Logged Out,GET,200,free,44,,,,,,,,,
1538654929000,,385,About,Logged Out,GET,200,free,45,,,,,,,,,
1538655129000,,416,Home,Logged Out,GET,200,free,16,,,,,,,,,
1538655130000,,416,Login,Logged Out,PUT,307,free,17,,,,,,,,,
1538655207000,,385,Home,Logged Out,GET,200,free,46,,,,,,,,,
1538657200000,,403,Login,Logged Out,PUT,307,free,0,,,,,,,,,
1538657280000,,403,Home,Logged Out,GET,200,free,3,,,,,,,,,
1538657311000,,424,Home,Logged Out,GET,200,free,5,,,,,,,,,
1538657329000,,424,Help,Logged Out,GET,200,free,6,,,,,,,,,
1538657334000,,424,Home,Logged Out,GET,200,free,7,,,,,,,,,
1538657335000,,424,Login,Logged Out,PUT,307,free,8,,,,,,,,,
1538659039000,,419,Home,Logged Out,GET,200,free,14,,,,,,,,,
1538660306000,,416,Home,Logged Out,GET,200,free,48,,,,,,,,,
1538660307000,,416,Login,Logged Out,PUT,307,free,49,,,,,,,,,
1538660745000,,420,Home,Logged Out,GET,200,paid,22,,,,,,,,,
1538660746000,,420,Login,Logged Out,PUT,307,paid,23,,,,,,,,,
1538661194000,,197,Home,Logged Out,GET,200,free,53,,,,,,,,,
1538661212000,,197,About,Logged Out,GET,200,free,54,,,,,,,,,
1538661269000,,197,Home,Logged Out,GET,200,free,55,,,,,,,,,
1538665322000,,182,Home,Logged Out,GET,200,paid,212,,,,,,,,,
1538665323000,,182,Login,Logged Out,PUT,307,paid,213,,,,,,,,,
1538666040000,,420,Home,Logged Out,GET,200,paid,49,,,,,,,,,
1538666072000,,420,Home,Logged Out,GET,200,paid,50,,,,,,,,,
1538666073000,,420,Login,Logged Out,PUT,307,paid,51,,,,,,,,,
1538666940000,,110,Home,Logged Out,GET,200,free,19,,,,,,,,,
1538667551000,,335,Home,Logged Out,GET,200,free,92,,,,,,,,,
1538671217000,,430,Login,Logged Out,PUT,307,free,0,,,,,,,,,
1538671432000,,420,Home,Logged Out,GET,200,paid,81,,,,,,,,,
1538671433000,,420,Login,Logged Out,PUT,307,paid,82,,,,,,,,,
1538672224000,,450,Home,Logged Out,GET,200,free,25,,,,,,,,,
1538672225000,,450,Login,Logged Out,PUT,307,free,26,,,,,,,,,
